iter	RMSE
0	1.925873977
1	1.871140655
2	1.827707744
3	1.779369946
4	1.73372119
5	1.6838275
6	1.638769617
7	1.600119024
8	1.556146024
9	1.529340162
10	1.505303137
11	1.495113011
12	1.476739789
13	1.45078498
14	1.433018273
15	1.403326723
16	1.375047122
17	1.343191971
18	1.313935391
19	1.284492419
20	1.260882787
21	1.240227648
22	1.226344409
23	1.201594023
24	1.183104164
25	1.167458954
26	1.15701775
27	1.134749274
28	1.118636684
29	1.100812181
30	1.07940445
31	1.072740252
32	1.059095469
33	1.050270958
34	1.034985602
35	1.028769603
36	1.018928459
37	1.005939158
38	0.9882881934
39	0.9741264388
40	0.9663893206
41	0.9634570782
42	0.9553757313
43	0.9492677105
44	0.9453983073
45	0.9343620956
46	0.9225119656
47	0.9140332164
48	0.9032468425
49	0.889328293
50	0.883294345
51	0.8663281963
52	0.8531461368
53	0.8413103915
54	0.8340953064
55	0.8229436902
56	0.8157985207
57	0.802613411
58	0.7933821109
59	0.7844960728
60	0.7781969243
61	0.773127872
62	0.7719862449
63	0.7635157737
64	0.7555145156
65	0.7473486165
66	0.7398155744
67	0.7275990525
68	0.7166723395
69	0.7106825804
70	0.7042030181
71	0.6978871358
72	0.6930039477
73	0.6839624228
74	0.6775569125
75	0.6753734487
76	0.6713121747
77	0.6598164894
78	0.6526191139
79	0.6439586824
80	0.6343539763
81	0.6266716153
82	0.6251707552
83	0.6221156961
84	0.6185088683
85	0.6126804768
86	0.6105343336
87	0.6044029521
88	0.5951914027
89	0.5844335092
90	0.5782437389
91	0.569342488
92	0.5616995868
93	0.5545590287
94	0.5517373251
95	0.5437198923
96	0.5381443291
97	0.5307928079
98	0.5241674658
99	0.5199790047
100	0.513255759
101	0.5114441643
102	0.5073473314
103	0.5006215907
104	0.4955866472
105	0.4900045583
106	0.4854991554
107	0.4804424135
108	0.4730789802
109	0.4667707141
110	0.4622468636
111	0.4596591259
112	0.4564219947
113	0.4503524097
114	0.4445705231
115	0.4389088296
116	0.4334652342
117	0.4273583983
118	0.4242188181
119	0.4200260325
120	0.4162475216
121	0.4113710562
122	0.4060980192
123	0.4011434008
124	0.3974208209
125	0.3941148708
126	0.3900303447
127	0.3871285334
128	0.3832703522
129	0.3807471358
130	0.3762369033
131	0.3715449936
132	0.3684946258
133	0.3644447464
134	0.3606223756
135	0.357061832
136	0.3535459089
137	0.3496967211
138	0.3458461937
139	0.3424789698
140	0.3391364635
141	0.3357093337
142	0.3322075788
143	0.3294577911
144	0.3267598843
145	0.3238969568
146	0.322264393
147	0.3195289132
148	0.3163775953
149	0.3138046708
150	0.3111035706
151	0.3090053886
152	0.3068276742
153	0.3047811546
154	0.3025045477
155	0.2997044865
156	0.2975301674
157	0.2956148257
158	0.2938572287
159	0.2922450465
160	0.290729099
161	0.2887909231
162	0.2869918441
163	0.2848174244
164	0.2828207275
165	0.2809882125
166	0.2798662118
167	0.2784134843
168	0.2762143127
169	0.275429066
170	0.2738046418
171	0.2722781122
172	0.2711429947
173	0.2696908252
174	0.2682657821
175	0.2674092518
176	0.2664835626
177	0.2641541147
178	0.2622696578
179	0.2607470313
180	0.2590383358
181	0.2580736428
182	0.2564812083
183	0.2554763589
184	0.2543073311
185	0.2533296735
186	0.2523940935
187	0.2507195156
188	0.2501684078
189	0.2495948243
190	0.2483303703
191	0.2470332809
192	0.2458807529
193	0.2450295158
194	0.2442069461
195	0.2433696049
196	0.242364665
197	0.2418330562
198	0.2404694625
199	0.23971484
200	0.2385786487
201	0.2377124167
202	0.2371858846
203	0.2365005908
204	0.235450095
205	0.2343719317
206	0.2335876482
207	0.2325075807
208	0.2320406715
209	0.2313702794
210	0.2307533045
211	0.2301169555
212	0.2292452592
213	0.2287065472
214	0.2280876343
215	0.2268504971
216	0.2259404149
217	0.2254354774
218	0.2247284511
219	0.2242629204
220	0.2236162145
221	0.2231036607
222	0.2226184332
223	0.2221200418
224	0.2215065358
225	0.2209176281
226	0.2201190039
227	0.2192701714
228	0.2185464551
229	0.2181009908
230	0.21708739
231	0.2166238754
232	0.2160526067
233	0.2150693717
234	0.214527678
235	0.2134988253
236	0.2130581625
237	0.2127192673
238	0.2124085004
239	0.2120208172
240	0.211059559
241	0.2106174751
242	0.2101751343
243	0.2096890625
244	0.2092910951
245	0.2084105293
246	0.2075924817
247	0.2070386222
248	0.2064727081
249	0.2058901126
250	0.205458848
251	0.204967299
252	0.2044099933
253	0.2040435105
254	0.2035999263
255	0.2031794777
256	0.2028517259
257	0.2022823469
258	0.2017914962
259	0.2014000269
260	0.2009569265
261	0.2005535151
262	0.1999987594
263	0.1995306881
264	0.1992091524
265	0.1987912332
266	0.198519413
267	0.1980079931
268	0.1976253769
269	0.1971580375
270	0.1968437873
271	0.196199758
272	0.1955865503
273	0.1952565506
274	0.1948640078
275	0.1944987832
276	0.1940279655
277	0.1936307235
278	0.1932540809
279	0.1929949954
280	0.1924257555
281	0.1920766342
282	0.1917865378
283	0.1915421028
284	0.1910901523
285	0.1908161167
286	0.1905763982
287	0.1902613752
288	0.1899289369
289	0.1897139168
290	0.1893674324
291	0.1889093306
292	0.1885708202
293	0.1881416562
294	0.1876098317
295	0.1872533666
296	0.1869492411
297	0.186756098
298	0.1862953071
299	0.1860118395
