iter	Passed	Remaining
0	55	16715
1	56	8346
2	56	5553
3	56	4158
4	56	3320
5	56	2761
6	56	2361
7	56	2061
8	56	1829
9	56	1643
10	56	1490
11	56	1363
12	56	1255
13	56	1163
14	57	1083
15	57	1013
16	57	951
17	57	897
18	57	848
19	57	803
20	57	763
21	57	727
22	57	693
23	57	663
24	57	635
25	57	609
26	57	585
27	57	563
28	58	542
29	58	523
30	58	505
31	58	488
32	58	472
33	58	456
34	58	442
35	58	429
36	58	416
37	58	404
38	58	393
39	58	382
40	58	371
41	58	361
42	59	352
43	59	343
44	59	335
45	59	327
46	59	319
47	59	311
48	59	304
49	59	297
50	59	290
51	59	284
52	59	278
53	59	272
54	59	266
55	59	261
56	60	255
57	60	250
58	60	245
59	60	240
60	60	236
61	60	231
62	60	227
63	60	223
64	60	219
65	60	215
66	60	211
67	60	207
68	60	204
69	61	200
70	61	197
71	61	193
72	61	190
73	61	187
74	61	184
75	61	181
76	61	178
77	61	175
78	61	172
79	61	169
80	61	166
81	61	164
82	61	161
83	61	159
84	62	156
85	62	154
86	62	152
87	62	149
88	62	147
89	62	145
90	62	143
91	62	141
92	62	139
93	62	137
94	62	135
95	62	133
96	62	131
97	62	129
98	63	127
99	63	126
100	63	124
101	63	122
102	63	121
103	63	119
104	63	117
105	63	116
106	63	114
107	63	113
108	63	111
109	63	110
110	63	108
111	63	107
112	64	105
113	64	104
114	64	103
115	64	101
116	64	100
117	64	99
118	64	98
119	64	96
120	64	95
121	64	94
122	64	93
123	64	91
124	64	90
125	64	89
126	64	88
127	65	87
128	65	86
129	65	85
130	65	84
131	65	83
132	65	82
133	65	81
134	65	80
135	65	79
136	65	78
137	65	77
138	65	76
139	65	75
140	65	74
141	66	73
142	66	72
143	66	71
144	66	70
145	66	69
146	66	69
147	66	68
148	66	67
149	66	66
150	66	65
151	66	64
152	66	64
153	66	63
154	66	62
155	66	61
156	67	61
157	67	60
158	67	59
159	67	58
160	67	58
161	67	57
162	67	56
163	67	56
164	67	55
165	67	54
166	67	53
167	67	53
168	67	52
169	67	51
170	67	51
171	68	50
172	68	50
173	68	49
174	68	48
175	68	48
176	68	47
177	68	46
178	68	46
179	68	45
180	68	45
181	68	44
182	68	44
183	68	43
184	68	42
185	69	42
186	69	41
187	69	41
188	69	40
189	69	40
190	69	39
191	69	39
192	69	38
193	69	37
194	69	37
195	69	36
196	69	36
197	69	35
198	69	35
199	69	34
200	69	34
201	70	33
202	70	33
203	70	33
204	70	32
205	70	32
206	70	31
207	70	31
208	70	30
209	70	30
210	70	29
211	70	29
212	70	28
213	70	28
214	70	28
215	71	27
216	71	27
217	71	26
218	71	26
219	71	25
220	71	25
221	71	25
222	71	24
223	71	24
224	71	23
225	71	23
226	71	23
227	71	22
228	71	22
229	72	21
230	72	21
231	72	21
232	72	20
233	72	20
234	72	20
235	72	19
236	72	19
237	72	18
238	72	18
239	72	18
240	72	17
241	72	17
242	72	17
243	73	16
244	73	16
245	73	16
246	73	15
247	73	15
248	73	15
249	73	14
250	73	14
251	73	14
252	73	13
253	73	13
254	73	13
255	73	12
256	73	12
257	74	12
258	74	11
259	74	11
260	74	11
261	74	10
262	74	10
263	74	10
264	74	9
265	74	9
266	74	9
267	74	8
268	74	8
269	74	8
270	74	8
271	75	7
272	75	7
273	75	7
274	75	6
275	75	6
276	75	6
277	75	5
278	75	5
279	75	5
280	75	5
281	75	4
282	75	4
283	75	4
284	75	3
285	75	3
286	75	3
287	76	3
288	76	2
289	76	2
290	76	2
291	76	2
292	76	1
293	76	1
294	76	1
295	76	1
296	76	0
297	76	0
298	76	0
299	76	0
